p1,p2,g1_ratio,policy,avg_cost
0.3,0.7,4,ratiocoll-nodupe,139.33333333333334
0.3,0.7,4,epsilon-exact-nodupe,136.23333333333332
0.3,0.7,5,random,138.4
0.3,0.7,5,coupcoll-nodupe,135.26666666666668
0.3,0.7,5,ratiocoll-nodupe,133.46666666666667
0.3,0.7,5,epsilon-exact-nodupe,137.4
0.3,0.7,6,random,135.0
0.3,0.7,6,coupcoll-nodupe,134.0
0.3,0.7,6,ratiocoll-nodupe,135.03333333333333
0.3,0.7,6,epsilon-exact-nodupe,133.46666666666667
0.3,0.7,7,random,133.43333333333334
0.3,0.7,7,coupcoll-nodupe,131.66666666666666
0.3,0.7,7,ratiocoll-nodupe,133.2
0.3,0.7,7,epsilon-exact-nodupe,134.2
0.3,0.7,8,random,132.06666666666666
0.3,0.7,8,coupcoll-nodupe,133.0
0.3,0.7,8,ratiocoll-nodupe,130.8
0.3,0.7,8,epsilon-exact-nodupe,133.5
0.3,0.7,9,random,130.13333333333333
0.3,0.7,9,coupcoll-nodupe,130.23333333333332
0.3,0.7,9,ratiocoll-nodupe,130.86666666666667
0.3,0.7,9,epsilon-exact-nodupe,128.9
0.3,0.7,10,random,129.26666666666668
0.3,0.7,10,coupcoll-nodupe,128.3
0.3,0.7,10,ratiocoll-nodupe,130.23333333333332
0.3,0.7,10,epsilon-exact-nodupe,126.8
0.3,0.7,11,random,128.2
0.3,0.7,11,coupcoll-nodupe,127.83333333333333
0.3,0.7,11,ratiocoll-nodupe,125.93333333333334
0.3,0.7,11,epsilon-exact-nodupe,127.63333333333334
0.3,0.7,12,random,124.6
0.3,0.7,12,coupcoll-nodupe,123.7
0.3,0.7,12,ratiocoll-nodupe,125.2
0.3,0.7,12,epsilon-exact-nodupe,126.9
0.3,0.7,13,random,121.7
0.3,0.7,13,coupcoll-nodupe,123.66666666666667
0.3,0.7,13,ratiocoll-nodupe,124.93333333333334
0.3,0.7,13,epsilon-exact-nodupe,123.03333333333333
0.3,0.7,14,random,121.3
0.3,0.7,14,coupcoll-nodupe,122.23333333333333
0.3,0.7,14,ratiocoll-nodupe,120.1
0.3,0.7,14,epsilon-exact-nodupe,124.23333333333333
0.3,0.7,15,random,119.5
0.3,0.7,15,coupcoll-nodupe,123.4
