p1,p2,total_query,policy,avg_cost
70,90,2048,random,2220.266666666667
70,90,2048,coupcoll,2134.6
70,90,2048,ratiocoll,2048.4
70,90,2048,union-bound,2560.0
70,90,2048,asymptotic,2084.393577578312
70,90,2048,epsilon-exact,2048.4
70,90,5096,random,5580.2
70,90,5096,coupcoll,5307.066666666667
70,90,5096,ratiocoll,5096.5
70,90,5096,union-bound,6369.84126984127
70,90,5096,asymptotic,5153.408273149579
70,90,5096,epsilon-exact,5096.2
90,10,32,random,37.0
90,10,32,coupcoll,38.166666666666664
90,10,32,ratiocoll,42.03333333333333
90,10,32,union-bound,62.22222222222222
90,10,32,asymptotic,39.52252778063675
90,10,32,epsilon-exact,37.93333333333333
90,10,64,random,69.9
90,10,64,coupcoll,70.76666666666667
90,10,64,ratiocoll,77.03333333333333
90,10,64,union-bound,124.44444444444444
90,10,64,asymptotic,74.63846081070487
90,10,64,epsilon-exact,72.43333333333334
90,10,128,random,140.83333333333334
90,10,128,coupcoll,145.13333333333333
90,10,128,ratiocoll,148.76666666666668
90,10,128,union-bound,257.77777777777777
90,10,128,asymptotic,143.0450555612735
90,10,128,epsilon-exact,138.46666666666667
90,10,256,random,275.3
90,10,256,coupcoll,277.43333333333334
90,10,256,ratiocoll,281.6333333333333
90,10,256,union-bound,515.5555555555555
90,10,256,asymptotic,277.27692162140977
90,10,256,epsilon-exact,281.56666666666666
90,10,512,random,540.3
90,10,512,coupcoll,535.4666666666667
90,10,512,ratiocoll,538.4
90,10,512,union-bound,1022.2222222222223
90,10,512,asymptotic,542.090111122547
90,10,512,epsilon-exact,547.0666666666667
90,10,1024,random,1075.3666666666666
90,10,1024,coupcoll,1060.6333333333334
90,10,1024,ratiocoll,1065.0
90,10,1024,union-bound,2044.4444444444446
90,10,1024,asymptotic,1066.5538432428195
90,10,1024,epsilon-exact,1067.6333333333334
90,10,2048,random,2098.3
90,10,2048,coupcoll,2090.9666666666667
90,10,2048,ratiocoll,2155.6
90,10,2048,union-bound,4097.777777777777
90,10,2048,asymptotic,2108.1802222450942
90,10,2048,epsilon-exact,2128.9
90,10,5096,random,5201.2
90,10,5096,coupcoll,5177.033333333334
90,10,5096,ratiocoll,5172.666666666667
90,10,5096,union-bound,10195.555555555555
90,10,5096,asymptotic,5190.930008719659
90,10,5096,epsilon-exact,5220.4
90,30,32,random,42.03333333333333
90,30,32,coupcoll,34.166666666666664
90,30,32,ratiocoll,35.03333333333333
90,30,32,union-bound,53.333333333333336
90,30,32,asymptotic,37.21176012696448
90,30,32,epsilon-exact,36.266666666666666
90,30,64,random,80.23333333333333
90,30,64,coupcoll,65.56666666666666
90,30,64,ratiocoll,69.16666666666667
90,30,64,union-bound,106.66666666666667
90,30,64,asymptotic,71.3705418553885
90,30,64,epsilon-exact,71.2
90,30,128,random,166.83333333333334
90,30,128,coupcoll,131.66666666666666
90,30,128,ratiocoll,132.03333333333333
90,30,128,union-bound,213.33333333333334
90,30,128,asymptotic,138.42352025392896
90,30,128,epsilon-exact,141.56666666666666
90,30,256,random,316.23333333333335
90,30,256,coupcoll,260.93333333333334
90,30,256,ratiocoll,258.73333333333335
90,30,256,union-bound,426.6666666666667
90,30,256,asymptotic,270.741083710777
90,30,256,epsilon-exact,267.96666666666664
90,30,512,random,650.6
90,30,512,coupcoll,521.8
90,30,512,ratiocoll,515.5333333333333
90,30,512,union-bound,853.3333333333334
90,30,512,asymptotic,532.847040507858
90,30,512,epsilon-exact,523.4666666666667
90,30,1024,random,1287.3
90,30,1024,coupcoll,1042.3666666666666
90,30,1024,ratiocoll,1026.9666666666667
90,30,1024,union-bound,1706.6666666666667
90,30,1024,asymptotic,1053.4821674215539
90,30,1024,epsilon-exact,1035.2666666666667
90,30,2048,random,2569.5666666666666
90,30,2048,coupcoll,2087.9333333333334
90,30,2048,ratiocoll,2054.1
90,30,2048,union-bound,3413.3333333333335
90,30,2048,asymptotic,2089.6940810157157
90,30,2048,epsilon-exact,2056.6
90,30,5096,random,6377.233333333334
90,30,5096,coupcoll,5190.6
90,30,5096,ratiocoll,5101.2
90,30,5096,union-bound,8493.333333333334
90,30,5096,asymptotic,5161.769439306162
90,30,5096,epsilon-exact,5103.633333333333
90,50,32,random,41.6
90,50,32,coupcoll,33.0
90,50,32,ratiocoll,32.6
90,50,32,union-bound,45.333333333333336
90,50,32,asymptotic,36.70984737443763
90,50,32,epsilon-exact,34.43333333333333
90,50,64,random,78.9
90,50,64,coupcoll,65.83333333333333
90,50,64,ratiocoll,64.66666666666667
90,50,64,union-bound,91.55555555555556
90,50,64,asymptotic,70.66073003363701
90,50,64,epsilon-exact,67.1
90,50,128,random,149.66666666666666
90,50,128,coupcoll,132.0
90,50,128,ratiocoll,129.63333333333333
90,50,128,union-bound,183.11111111111111
90,50,128,asymptotic,137.41969474887526
90,50,128,epsilon-exact,130.46666666666667
90,50,256,random,299.9
90,50,256,coupcoll,265.1333333333333
90,50,256,ratiocoll,257.6333333333333
90,50,256,union-bound,365.33333333333337
90,50,256,asymptotic,269.321460067274
90,50,256,epsilon-exact,258.2
90,50,512,random,613.8333333333334
90,50,512,coupcoll,528.4
90,50,512,ratiocoll,512.8666666666667
90,50,512,union-bound,731.5555555555557
90,50,512,asymptotic,530.8393894977505
90,50,512,epsilon-exact,514.3
90,50,1024,random,1205.4333333333334
90,50,1024,coupcoll,1056.7
90,50,1024,ratiocoll,1024.5333333333333
90,50,1024,union-bound,1463.1111111111113
90,50,1024,asymptotic,1050.6429201345481
90,50,1024,epsilon-exact,1025.2
90,50,2048,random,2452.1
90,50,2048,coupcoll,2111.4333333333334
90,50,2048,ratiocoll,2049.4333333333334
90,50,2048,union-bound,2925.3333333333335
90,50,2048,asymptotic,2085.678778995501
90,50,2048,epsilon-exact,2048.866666666667
90,50,5096,random,6040.266666666666
90,50,5096,coupcoll,5259.966666666666
90,50,5096,ratiocoll,5096.8
90,50,5096,union-bound,7280.0
90,50,5096,asymptotic,5155.435586728505
90,50,5096,epsilon-exact,5097.333333333333
90,70,32,random,36.86666666666667
90,70,32,coupcoll,32.96666666666667
90,70,32,ratiocoll,32.06666666666667
90,70,32,union-bound,40.0
90,70,32,asymptotic,36.549197197289025
90,70,32,epsilon-exact,33.3
90,70,64,random,72.36666666666666
90,70,64,coupcoll,66.33333333333333
90,70,64,ratiocoll,64.46666666666667
90,70,64,union-bound,80.0
90,70,64,asymptotic,70.4335363743158
90,70,64,epsilon-exact,64.73333333333333
90,70,128,random,142.56666666666666
90,70,128,coupcoll,132.26666666666668
90,70,128,ratiocoll,128.2
90,70,128,union-bound,160.0
90,70,128,asymptotic,137.09839439457807
90,70,128,epsilon-exact,129.13333333333333
90,70,256,random,280.6
90,70,256,coupcoll,266.96666666666664
90,70,256,ratiocoll,256.46666666666664
90,70,256,union-bound,320.0
90,70,256,asymptotic,268.86707274863164
90,70,256,epsilon-exact,256.46666666666664
90,70,512,random,556.6333333333333
90,70,512,coupcoll,534.2666666666667
90,70,512,ratiocoll,512.1333333333333
90,70,512,union-bound,640.0
90,70,512,asymptotic,530.1967887891561
90,70,512,epsilon-exact,512.6
90,70,1024,random,1117.0666666666666
90,70,1024,coupcoll,1066.4666666666667
90,70,1024,ratiocoll,1024.1666666666667
90,70,1024,union-bound,1280.0
90,70,1024,asymptotic,1049.7341454972632
90,70,1024,epsilon-exact,1024.5
90,70,2048,random,2258.633333333333
90,70,2048,coupcoll,2134.0
90,70,2048,ratiocoll,2048.3
90,70,2048,union-bound,2560.0
90,70,2048,asymptotic,2084.393577578312
90,70,2048,epsilon-exact,2048.7
90,70,5096,random,5576.966666666666
90,70,5096,coupcoll,5310.466666666666
90,70,5096,ratiocoll,5096.333333333333
90,70,5096,union-bound,6370.158730158731
90,70,5096,asymptotic,5153.408273149579
90,70,5096,epsilon-exact,5096.666666666667
90,90,32,random,37.2
90,90,32,coupcoll,32.46666666666667
90,90,32,ratiocoll,32.166666666666664
90,90,32,union-bound,35.55555555555556
90,90,32,asymptotic,36.51351666838205
90,90,32,epsilon-exact,32.36666666666667
90,90,64,random,69.56666666666666
90,90,64,coupcoll,65.13333333333334
90,90,64,ratiocoll,64.2
90,90,64,union-bound,71.11111111111111
90,90,64,asymptotic,70.38307648642292
90,90,64,epsilon-exact,64.73333333333333
90,90,128,random,135.86666666666667
90,90,128,coupcoll,128.8
90,90,128,ratiocoll,128.06666666666666
90,90,128,union-bound,142.22222222222223
90,90,128,asymptotic,137.0270333367641
90,90,128,epsilon-exact,128.7
90,90,256,random,266.8666666666667
90,90,256,coupcoll,256.8
90,90,256,ratiocoll,256.1
90,90,256,union-bound,284.44444444444446
90,90,256,asymptotic,268.7661529728458
90,90,256,epsilon-exact,256.5
90,90,512,random,531.4
90,90,512,coupcoll,514.1666666666666
90,90,512,ratiocoll,512.0333333333333
90,90,512,union-bound,568.8888888888889
90,90,512,asymptotic,530.0540666735282
90,90,512,epsilon-exact,512.3
90,90,1024,random,1050.7
90,90,1024,coupcoll,1026.9
90,90,1024,ratiocoll,1024.0666666666666
90,90,1024,union-bound,1137.7777777777778
90,90,1024,asymptotic,1049.5323059456916
90,90,1024,epsilon-exact,1024.3333333333333
90,90,2048,random,2081.9333333333334
90,90,2048,coupcoll,2050.866666666667
90,90,2048,ratiocoll,2048.0666666666666
90,90,2048,union-bound,2275.5555555555557
90,90,2048,asymptotic,2084.1081333470565
90,90,2048,epsilon-exact,2048.266666666667
90,90,5096,random,5148.633333333333
90,90,5096,coupcoll,5102.066666666667
90,90,5096,ratiocoll,5096.066666666667
90,90,5096,union-bound,5662.222222222223
90,90,5096,asymptotic,5152.958005231795
90,90,5096,epsilon-exact,5096.166666666667
